Year,Series,Reference area,COMPOSITE_BREAKDOWN,Units,Value
2018,Freight volume (tonne kilometres) [9.1.2],,Mode of transport: Inland waterway transport,Tonne kilometres,0.0
2019,Freight volume (tonne kilometres) [9.1.2],,Mode of transport: Inland waterway transport,Tonne kilometres,0.0
2018,Freight volume (tonne kilometres) [9.1.2],,Mode of Transport: Rail,Tonne kilometres,0.0
2019,Freight volume (tonne kilometres) [9.1.2],,Mode of Transport: Rail,Tonne kilometres,0.0
2019,Passenger volume (passenger kilometres) [9.1.2],,Mode of Transport: Rail,Passenger kilometres,5642400000.0
2019,Passenger volume (passenger kilometres) [9.1.2],,Mode of Transport: Road,Passenger kilometres,41644483333.3333
