Year,Series,REF_AREA,Units,Value
2000,EG_IFF_RANDN,,CON_USD,12.03
2001,EG_IFF_RANDN,,CON_USD,5.46
2002,EG_IFF_RANDN,,CON_USD,43.14
2003,EG_IFF_RANDN,,CON_USD,63.72
2004,EG_IFF_RANDN,,CON_USD,5.45
2005,EG_IFF_RANDN,,CON_USD,40.8
2006,EG_IFF_RANDN,,CON_USD,19.98
2007,EG_IFF_RANDN,,CON_USD,64.45
2008,EG_IFF_RANDN,,CON_USD,56.69
2009,EG_IFF_RANDN,,CON_USD,52.05
2010,EG_IFF_RANDN,,CON_USD,23.73
2011,EG_IFF_RANDN,,CON_USD,134.89
2012,EG_IFF_RANDN,,CON_USD,31.15
2013,EG_IFF_RANDN,,CON_USD,319.91
2014,EG_IFF_RANDN,,CON_USD,394.67
2015,EG_IFF_RANDN,,CON_USD,15.5
2016,EG_IFF_RANDN,,CON_USD,29.6
2017,EG_IFF_RANDN,,CON_USD,10.79
2018,EG_IFF_RANDN,,CON_USD,15.59
