Year,Series,REF_AREA,Units,Value
2000,DC_TRF_TOTL,,USD,330.61023
2001,DC_TRF_TOTL,,USD,429.00523
2002,DC_TRF_TOTL,,USD,248.67733
2003,DC_TRF_TOTL,,USD,450.99802
2004,DC_TRF_TOTL,,USD,417.81229
2005,DC_TRF_TOTL,,USD,397.08543
2006,DC_TRF_TOTL,,USD,439.1621
2007,DC_TRF_TOTL,,USD,552.16639
2008,DC_TRF_TOTL,,USD,607.71192
2009,DC_TRF_TOTL,,USD,692.11934
2010,DC_TRF_TOTL,,USD,749.45726
2011,DC_TRF_TOTL,,USD,733.76194
2012,DC_TRF_TOTL,,USD,851.42326
2013,DC_TRF_TOTL,,USD,1004.72571
2014,DC_TRF_TOTL,,USD,888.37542
2015,DC_TRF_TOTL,,USD,1214.5901
2016,DC_TRF_TOTL,,USD,1071.16871
2017,DC_TRF_TOTL,,USD,1320.07574
2018,DC_TRF_TOTL,,USD,1473.00713
