Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2000,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,23.9283
2001,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,24.16208
2002,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,24.36175
2003,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,24.56056
2004,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,24.7585
2005,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,24.95553
2006,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,25.15159
2007,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,25.34678
2008,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,25.54093
2009,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,25.73401
2010,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,25.92598
2011,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,26.11691
2012,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,26.30714
2013,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,26.49631
2014,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,26.68465
2015,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,26.87191
2016,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,27.0582
2017,SH_H2O_SAFE,,None,None,None,None,None,None,None,None,None,None,None,PT,27.24335
2000,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,22.22516
2001,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,22.42336
2002,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,22.62156
2003,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,22.81976
2004,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,23.01796
2005,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,23.21616
2006,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,23.41436
2007,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,23.61255
2008,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,23.81075
2009,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.00895
2010,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.20715
2011,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.40535
2012,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.60355
2013,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.80175
2014,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,24.99995
2015,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,25.19815
2016,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,25.39635
2017,SH_H2O_SAFE,,None,None,R,None,None,None,None,None,None,None,None,PT,25.59455
2000,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.93801
2001,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.88999
2002,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.84197
2003,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.79395
2004,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.74593
2005,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.69791
2006,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.64989
2007,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.60187
2008,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.55385
2009,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.50583
2010,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.45781
2011,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.40979
2012,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.36177
2013,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.31375
2014,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.26573
2015,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.21771
2016,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.16969
2017,SH_H2O_SAFE,,None,None,U,None,None,None,None,None,None,None,None,PT,34.12167
