Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2015,AG_PRD_FIESMS,,None,None,None,None,None,None,None,None,None,None,None,PT,29.53218
2016,AG_PRD_FIESMS,,None,None,None,None,None,None,None,None,None,None,None,PT,31.15823
2017,AG_PRD_FIESMS,,None,None,None,None,None,None,None,None,None,None,None,PT,31.61175
2018,AG_PRD_FIESMS,,None,None,None,None,None,None,None,None,None,None,None,PT,33.81686
2015,AG_PRD_FIESMS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,27.77659
2016,AG_PRD_FIESMS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,30.47748
2017,AG_PRD_FIESMS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,30.47005
2018,AG_PRD_FIESMS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,30.75986
2015,AG_PRD_FIESMS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,26.886
2016,AG_PRD_FIESMS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,27.45748
2017,AG_PRD_FIESMS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,28.8108
2018,AG_PRD_FIESMS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,33.07161
2015,AG_PRD_FIESMSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,7991.8447
2016,AG_PRD_FIESMSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,8507.35421
2017,AG_PRD_FIESMSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,8745.05644
2018,AG_PRD_FIESMSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,9506.72119
2015,AG_PRD_FIESMSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2830.86012
2016,AG_PRD_FIESMSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,3193.95464
2017,AG_PRD_FIESMSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,3283.71339
2018,AG_PRD_FIESMSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,3405.97619
2015,AG_PRD_FIESMSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2120.13437
2016,AG_PRD_FIESMSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2196.90535
2017,AG_PRD_FIESMSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2368.67413
2018,AG_PRD_FIESMSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2808.05848
2015,AG_PRD_FIESS,,None,None,None,None,None,None,None,None,None,None,None,PT,10.43539
2016,AG_PRD_FIESS,,None,None,None,None,None,None,None,None,None,None,None,PT,9.61212
2017,AG_PRD_FIESS,,None,None,None,None,None,None,None,None,None,None,None,PT,9.56021
2018,AG_PRD_FIESS,,None,None,None,None,None,None,None,None,None,None,None,PT,10.33187
2015,AG_PRD_FIESS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.23996
2016,AG_PRD_FIESS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.13465
2017,AG_PRD_FIESS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.54288
2018,AG_PRD_FIESS,,F,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.30438
2015,AG_PRD_FIESS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.85786
2016,AG_PRD_FIESS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,8.24075
2017,AG_PRD_FIESS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,7.83129
2018,AG_PRD_FIESS,,M,Y_GE15,None,None,None,None,None,None,None,None,None,PT,9.48336
2015,AG_PRD_FIESSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2823.97
2016,AG_PRD_FIESSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2624.47
2017,AG_PRD_FIESSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2644.73
2018,AG_PRD_FIESSN,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2904.53
2015,AG_PRD_FIESSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,941.69
2016,AG_PRD_FIESSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,957.29
2017,AG_PRD_FIESSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,1028.42
2018,AG_PRD_FIESSN,,F,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,1030.26
2015,AG_PRD_FIESSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,777.36
2016,AG_PRD_FIESSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,659.35
2017,AG_PRD_FIESSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,643.85
2018,AG_PRD_FIESSN,,M,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,805.22
