Year,Series,Units,Value
2000,DC_ODA_POVLG,PT,0.62145
2001,DC_ODA_POVLG,PT,1.48264
2002,DC_ODA_POVLG,PT,0.65285
2003,DC_ODA_POVLG,PT,0.82635
2004,DC_ODA_POVLG,PT,0.75308
2005,DC_ODA_POVLG,PT,0.63864
2006,DC_ODA_POVLG,PT,0.91817
2007,DC_ODA_POVLG,PT,0.82584
2008,DC_ODA_POVLG,PT,0.94308
2009,DC_ODA_POVLG,PT,1.41129
2010,DC_ODA_POVLG,PT,0.98572
2011,DC_ODA_POVLG,PT,0.75673
2012,DC_ODA_POVLG,PT,0.65412
2013,DC_ODA_POVLG,PT,0.78865
2014,DC_ODA_POVLG,PT,1.00613
2015,DC_ODA_POVLG,PT,0.74008
2016,DC_ODA_POVLG,PT,0.64825
2017,DC_ODA_POVLG,PT,0.58189
2018,DC_ODA_POVLG,PT,0.5404
