Year,SERIES,SEX,UNIT_MEASURE,Value
2000,SH_STA_POISN,,PER_100000_POP,1.5
2005,SH_STA_POISN,,PER_100000_POP,0.9
2010,SH_STA_POISN,,PER_100000_POP,0.7
2015,SH_STA_POISN,,PER_100000_POP,0.5
2016,SH_STA_POISN,,PER_100000_POP,0.4
2000,SH_STA_POISN,F,PER_100000_POP,1.2
2005,SH_STA_POISN,F,PER_100000_POP,0.8
2010,SH_STA_POISN,F,PER_100000_POP,0.5
2015,SH_STA_POISN,F,PER_100000_POP,0.4
2016,SH_STA_POISN,F,PER_100000_POP,0.3
2000,SH_STA_POISN,M,PER_100000_POP,1.7
2005,SH_STA_POISN,M,PER_100000_POP,1.1
2010,SH_STA_POISN,M,PER_100000_POP,0.8
2015,SH_STA_POISN,M,PER_100000_POP,0.6
2016,SH_STA_POISN,M,PER_100000_POP,0.6
