Year,Series,REF_AREA,Units,Value
2005,DC_TOF_TRDCML,524,CON_USD,164.60351
2006,DC_TOF_TRDCML,524,CON_USD,207.34817
2007,DC_TOF_TRDCML,524,CON_USD,206.84367
2008,DC_TOF_TRDCML,524,CON_USD,197.13493
2009,DC_TOF_TRDCML,524,CON_USD,281.05415
2010,DC_TOF_TRDCML,524,CON_USD,455.80748
2011,DC_TOF_TRDCML,524,CON_USD,415.95513
2012,DC_TOF_TRDCML,524,CON_USD,399.19279
2013,DC_TOF_TRDCML,524,CON_USD,944.15755
2014,DC_TOF_TRDCML,524,CON_USD,616.45874
2015,DC_TOF_TRDCML,524,CON_USD,343.31709
2016,DC_TOF_TRDCML,524,CON_USD,480.87607
2017,DC_TOF_TRDCML,524,CON_USD,798.03844
2018,DC_TOF_TRDCML,524,CON_USD,774.33469
2006,DC_TOF_TRDDBML,524,CON_USD,109.94607
2007,DC_TOF_TRDDBML,524,CON_USD,120.40686
2008,DC_TOF_TRDDBML,524,CON_USD,149.37707
2009,DC_TOF_TRDDBML,524,CON_USD,154.77794
2010,DC_TOF_TRDDBML,524,CON_USD,239.37515
2011,DC_TOF_TRDDBML,524,CON_USD,252.49819
2012,DC_TOF_TRDDBML,524,CON_USD,254.76187
2013,DC_TOF_TRDDBML,524,CON_USD,304.38647
2014,DC_TOF_TRDDBML,524,CON_USD,307.5205
2015,DC_TOF_TRDDBML,524,CON_USD,416.14748
2016,DC_TOF_TRDDBML,524,CON_USD,294.99382
2017,DC_TOF_TRDDBML,524,CON_USD,510.64633
2018,DC_TOF_TRDDBML,524,CON_USD,440.53853
