Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,_L_NP_03_08_02_01,,PT,53.0
2018,_L_NP_03_08_02_01,,PT,45.0
2019,_L_NP_03_08_02_01,,PT,42.0
2020,_L_NP_03_08_02_01,,PT,40.0
2022,_L_NP_03_08_02_01,,PT,35.0
2015,SH_XPD_EARN25,,PT,10.7
2018,SH_XPD_EARN25,,PT,7.5
2019,SH_XPD_EARN25,,PT,6.0
2020,SH_XPD_EARN25,,PT,4.0
2022,SH_XPD_EARN25,,PT,2.0
