Year,Series,REF_AREA,URBANISATION,Units,Value
2000,SP_ACS_BSRVH2O,,,PT,79.98707
2001,SP_ACS_BSRVH2O,,,PT,80.58893
2002,SP_ACS_BSRVH2O,,,PT,81.14635
2003,SP_ACS_BSRVH2O,,,PT,81.69852
2004,SP_ACS_BSRVH2O,,,PT,82.24532
2005,SP_ACS_BSRVH2O,,,PT,82.78663
2006,SP_ACS_BSRVH2O,,,PT,83.32235
2007,SP_ACS_BSRVH2O,,,PT,83.85242
2008,SP_ACS_BSRVH2O,,,PT,84.37664
2009,SP_ACS_BSRVH2O,,,PT,84.89488
2010,SP_ACS_BSRVH2O,,,PT,85.40703
2011,SP_ACS_BSRVH2O,,,PT,85.91304
2012,SP_ACS_BSRVH2O,,,PT,86.41293
2013,SP_ACS_BSRVH2O,,,PT,86.90636
2014,SP_ACS_BSRVH2O,,,PT,87.39326
2015,SP_ACS_BSRVH2O,,,PT,87.87333
2016,SP_ACS_BSRVH2O,,,PT,88.34641
2017,SP_ACS_BSRVH2O,,,PT,88.81225
2000,SP_ACS_BSRVH2O,,R,PT,77.97714
2001,SP_ACS_BSRVH2O,,R,PT,78.61756
2002,SP_ACS_BSRVH2O,,R,PT,79.25702
2003,SP_ACS_BSRVH2O,,R,PT,79.8955
2004,SP_ACS_BSRVH2O,,R,PT,80.53301
2005,SP_ACS_BSRVH2O,,R,PT,81.16955
2006,SP_ACS_BSRVH2O,,R,PT,81.80512
2007,SP_ACS_BSRVH2O,,R,PT,82.43971
2008,SP_ACS_BSRVH2O,,R,PT,83.07334
2009,SP_ACS_BSRVH2O,,R,PT,83.70599
2010,SP_ACS_BSRVH2O,,R,PT,84.33767
2011,SP_ACS_BSRVH2O,,R,PT,84.96838
2012,SP_ACS_BSRVH2O,,R,PT,85.59812
2013,SP_ACS_BSRVH2O,,R,PT,86.22689
2014,SP_ACS_BSRVH2O,,R,PT,86.85468
2015,SP_ACS_BSRVH2O,,R,PT,87.48151
2016,SP_ACS_BSRVH2O,,R,PT,88.10736
2017,SP_ACS_BSRVH2O,,R,PT,88.73224
2000,SP_ACS_BSRVH2O,,U,PT,92.97999
2001,SP_ACS_BSRVH2O,,U,PT,92.75226
2002,SP_ACS_BSRVH2O,,U,PT,92.52481
2003,SP_ACS_BSRVH2O,,U,PT,92.29763
2004,SP_ACS_BSRVH2O,,U,PT,92.07072
2005,SP_ACS_BSRVH2O,,U,PT,91.8441
2006,SP_ACS_BSRVH2O,,U,PT,91.61774
2007,SP_ACS_BSRVH2O,,U,PT,91.39166
2008,SP_ACS_BSRVH2O,,U,PT,91.16586
2009,SP_ACS_BSRVH2O,,U,PT,90.94033
2010,SP_ACS_BSRVH2O,,U,PT,90.71508
2011,SP_ACS_BSRVH2O,,U,PT,90.4901
2012,SP_ACS_BSRVH2O,,U,PT,90.2654
2013,SP_ACS_BSRVH2O,,U,PT,90.04097
2014,SP_ACS_BSRVH2O,,U,PT,89.81682
2015,SP_ACS_BSRVH2O,,U,PT,89.59294
2016,SP_ACS_BSRVH2O,,U,PT,89.36934
2017,SP_ACS_BSRVH2O,,U,PT,89.14601
2000,SP_ACS_BSRVSAN,,,PT,15.12425
2001,SP_ACS_BSRVSAN,,,PT,17.49453
2002,SP_ACS_BSRVSAN,,,PT,19.86868
2003,SP_ACS_BSRVSAN,,,PT,22.29927
2004,SP_ACS_BSRVSAN,,,PT,24.78598
2005,SP_ACS_BSRVSAN,,,PT,27.32844
2006,SP_ACS_BSRVSAN,,,PT,29.9263
2007,SP_ACS_BSRVSAN,,,PT,32.57934
2008,SP_ACS_BSRVSAN,,,PT,35.287
2009,SP_ACS_BSRVSAN,,,PT,38.04892
2010,SP_ACS_BSRVSAN,,,PT,40.86468
2011,SP_ACS_BSRVSAN,,,PT,43.734
2012,SP_ACS_BSRVSAN,,,PT,46.65691
2013,SP_ACS_BSRVSAN,,,PT,49.63253
2014,SP_ACS_BSRVSAN,,,PT,52.66066
2015,SP_ACS_BSRVSAN,,,PT,55.74052
2016,SP_ACS_BSRVSAN,,,PT,58.87173
2017,SP_ACS_BSRVSAN,,,PT,62.0536
2000,SP_ACS_BSRVSAN,,R,PT,12.41769
2001,SP_ACS_BSRVSAN,,R,PT,14.75869
2002,SP_ACS_BSRVSAN,,R,PT,17.16286
2003,SP_ACS_BSRVSAN,,R,PT,19.6302
2004,SP_ACS_BSRVSAN,,R,PT,22.16072
2005,SP_ACS_BSRVSAN,,R,PT,24.75441
2006,SP_ACS_BSRVSAN,,R,PT,27.41128
2007,SP_ACS_BSRVSAN,,R,PT,30.13132
2008,SP_ACS_BSRVSAN,,R,PT,32.91454
2009,SP_ACS_BSRVSAN,,R,PT,35.76093
2010,SP_ACS_BSRVSAN,,R,PT,38.67049
2011,SP_ACS_BSRVSAN,,R,PT,41.64323
