Year,SERIES,UNIT_MEASURE,Value
2004,SL_EMP_GTOTL,PT,40.96
2005,SL_EMP_GTOTL,PT,41.37
2006,SL_EMP_GTOTL,PT,41.27
2007,SL_EMP_GTOTL,PT,41.09
2008,SL_EMP_GTOTL,PT,39.61
2009,SL_EMP_GTOTL,PT,40.18
2010,SL_EMP_GTOTL,PT,39.87
2011,SL_EMP_GTOTL,PT,40.36
2012,SL_EMP_GTOTL,PT,39.52
2013,SL_EMP_GTOTL,PT,39.64
2014,SL_EMP_GTOTL,PT,38.56
2015,SL_EMP_GTOTL,PT,39.64
2016,SL_EMP_GTOTL,PT,40.82
2017,SL_EMP_GTOTL,PT,37.11
