Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2015,SG_DSR_LGRGSR,,None,None,None,None,None,None,None,None,None,None,None,IX,0.05
2016,SG_DSR_LGRGSR,,None,None,None,None,None,None,None,None,None,None,None,IX,0.05
2017,SG_DSR_LGRGSR,,None,None,None,None,None,None,None,None,None,None,None,IX,0.05
2018,SG_DSR_LGRGSR,,None,None,None,None,None,None,None,None,None,None,None,IX,0.375
2019,SG_DSR_LGRGSR,,None,None,None,None,None,None,None,None,None,None,None,IX,0.75
