Year,SERIES,UNIT_MEASURE,Value
2000,SL_EMP_PCAP,PT,4.2
2001,SL_EMP_PCAP,PT,2.9
2002,SL_EMP_PCAP,PT,-1.7
2003,SL_EMP_PCAP,PT,2.1
2004,SL_EMP_PCAP,PT,2.9
2005,SL_EMP_PCAP,PT,1.8
2006,SL_EMP_PCAP,PT,1.3
2007,SL_EMP_PCAP,PT,1.5
2008,SL_EMP_PCAP,PT,4.4
2009,SL_EMP_PCAP,PT,3.1
2010,SL_EMP_PCAP,PT,3.5
2011,SL_EMP_PCAP,PT,2.7
2012,SL_EMP_PCAP,PT,4.1
2013,SL_EMP_PCAP,PT,3.4
2014,SL_EMP_PCAP,PT,4.9
2015,SL_EMP_PCAP,PT,1.9
2016,SL_EMP_PCAP,PT,-2.2
2017,SL_EMP_PCAP,PT,4.7
2018,SL_EMP_PCAP,PT,3.0
2019,SL_EMP_PCAP,PT,3.9
