Year,Series,REF_AREA,URBANISATION,Units,Value
1990,EG_ACS_ELEC,,,PT,0
1991,EG_ACS_ELEC,,,PT,0
1992,EG_ACS_ELEC,,,PT,0
1993,EG_ACS_ELEC,,,PT,4
1994,EG_ACS_ELEC,,,PT,7
1995,EG_ACS_ELEC,,,PT,11
1996,EG_ACS_ELEC,,,PT,18
1997,EG_ACS_ELEC,,,PT,18
1998,EG_ACS_ELEC,,,PT,22
1999,EG_ACS_ELEC,,,PT,25
2000,EG_ACS_ELEC,,,PT,29
2001,EG_ACS_ELEC,,,PT,25
2002,EG_ACS_ELEC,,,PT,36
2003,EG_ACS_ELEC,,,PT,42
2004,EG_ACS_ELEC,,,PT,37
2005,EG_ACS_ELEC,,,PT,47
2006,EG_ACS_ELEC,,,PT,51
2007,EG_ACS_ELEC,,,PT,54
2008,EG_ACS_ELEC,,,PT,57
2009,EG_ACS_ELEC,,,PT,61
2010,EG_ACS_ELEC,,,PT,69
2011,EG_ACS_ELEC,,,PT,67
2012,EG_ACS_ELEC,,,PT,75
2013,EG_ACS_ELEC,,,PT,78
2014,EG_ACS_ELEC,,,PT,85
2015,EG_ACS_ELEC,,,PT,84
2016,EG_ACS_ELEC,,,PT,91
2017,EG_ACS_ELEC,,,PT,90
2018,EG_ACS_ELEC,,,PT,94
2019,EG_ACS_ELEC,,,PT,90
1995,EG_ACS_ELEC,,R,PT,2
1996,EG_ACS_ELEC,,R,PT,10
1997,EG_ACS_ELEC,,R,PT,9
1998,EG_ACS_ELEC,,R,PT,13
1999,EG_ACS_ELEC,,R,PT,17
2000,EG_ACS_ELEC,,R,PT,20
2001,EG_ACS_ELEC,,R,PT,15
2002,EG_ACS_ELEC,,R,PT,28
2003,EG_ACS_ELEC,,R,PT,35
2004,EG_ACS_ELEC,,R,PT,28
2005,EG_ACS_ELEC,,R,PT,39
2006,EG_ACS_ELEC,,R,PT,44
2007,EG_ACS_ELEC,,R,PT,47
2008,EG_ACS_ELEC,,R,PT,51
2009,EG_ACS_ELEC,,R,PT,55
2010,EG_ACS_ELEC,,R,PT,63
2011,EG_ACS_ELEC,,R,PT,62
2012,EG_ACS_ELEC,,R,PT,71
2013,EG_ACS_ELEC,,R,PT,74
2014,EG_ACS_ELEC,,R,PT,82
2015,EG_ACS_ELEC,,R,PT,81
2016,EG_ACS_ELEC,,R,PT,90
2017,EG_ACS_ELEC,,R,PT,88
2018,EG_ACS_ELEC,,R,PT,93
2019,EG_ACS_ELEC,,R,PT,89
1990,EG_ACS_ELEC,,U,PT,78
1991,EG_ACS_ELEC,,U,PT,79
1992,EG_ACS_ELEC,,U,PT,79
1993,EG_ACS_ELEC,,U,PT,80
1994,EG_ACS_ELEC,,U,PT,81
1995,EG_ACS_ELEC,,U,PT,82
1996,EG_ACS_ELEC,,U,PT,78
1997,EG_ACS_ELEC,,U,PT,83
1998,EG_ACS_ELEC,,U,PT,84
1999,EG_ACS_ELEC,,U,PT,84
2000,EG_ACS_ELEC,,U,PT,85
2001,EG_ACS_ELEC,,U,PT,86
2002,EG_ACS_ELEC,,U,PT,86
2003,EG_ACS_ELEC,,U,PT,87
2004,EG_ACS_ELEC,,U,PT,87
2005,EG_ACS_ELEC,,U,PT,88
2006,EG_ACS_ELEC,,U,PT,90
2007,EG_ACS_ELEC,,U,PT,90
2008,EG_ACS_ELEC,,U,PT,90
2009,EG_ACS_ELEC,,U,PT,91
2010,EG_ACS_ELEC,,U,PT,96
2011,EG_ACS_ELEC,,U,PT,94
2012,EG_ACS_ELEC,,U,PT,96
2013,EG_ACS_ELEC,,U,PT,96
2014,EG_ACS_ELEC,,U,PT,98
2015,EG_ACS_ELEC,,U,PT,95
2016,EG_ACS_ELEC,,U,PT,95
2017,EG_ACS_ELEC,,U,PT,97
2018,EG_ACS_ELEC,,U,PT,96
2019,EG_ACS_ELEC,,U,PT,94
