Year,Series,REF_AREA,Units,Value
2000,SH_TBS_INCD,,PER_100000_POP,417
2001,SH_TBS_INCD,,PER_100000_POP,405
2002,SH_TBS_INCD,,PER_100000_POP,393
2003,SH_TBS_INCD,,PER_100000_POP,382
2004,SH_TBS_INCD,,PER_100000_POP,371
2005,SH_TBS_INCD,,PER_100000_POP,360
2006,SH_TBS_INCD,,PER_100000_POP,350
2007,SH_TBS_INCD,,PER_100000_POP,339
2008,SH_TBS_INCD,,PER_100000_POP,329
2009,SH_TBS_INCD,,PER_100000_POP,320
2010,SH_TBS_INCD,,PER_100000_POP,311
2011,SH_TBS_INCD,,PER_100000_POP,302
2012,SH_TBS_INCD,,PER_100000_POP,293
2013,SH_TBS_INCD,,PER_100000_POP,284
2014,SH_TBS_INCD,,PER_100000_POP,276
2015,SH_TBS_INCD,,PER_100000_POP,268
2016,SH_TBS_INCD,,PER_100000_POP,260
2017,SH_TBS_INCD,,PER_100000_POP,253
2018,SH_TBS_INCD,,PER_100000_POP,245
2019,SH_TBS_INCD,,PER_100000_POP,238
