Year,SERIES,UNIT_MEASURE,Value
2000,SH_STA_MORT,PER_100000_LIVE_BIRTHS,553
2001,SH_STA_MORT,PER_100000_LIVE_BIRTHS,521
2002,SH_STA_MORT,PER_100000_LIVE_BIRTHS,520
2003,SH_STA_MORT,PER_100000_LIVE_BIRTHS,470
2004,SH_STA_MORT,PER_100000_LIVE_BIRTHS,447
2005,SH_STA_MORT,PER_100000_LIVE_BIRTHS,415
2006,SH_STA_MORT,PER_100000_LIVE_BIRTHS,386
2007,SH_STA_MORT,PER_100000_LIVE_BIRTHS,361
2008,SH_STA_MORT,PER_100000_LIVE_BIRTHS,342
2009,SH_STA_MORT,PER_100000_LIVE_BIRTHS,323
2010,SH_STA_MORT,PER_100000_LIVE_BIRTHS,305
2011,SH_STA_MORT,PER_100000_LIVE_BIRTHS,285
2012,SH_STA_MORT,PER_100000_LIVE_BIRTHS,266
2013,SH_STA_MORT,PER_100000_LIVE_BIRTHS,248
2014,SH_STA_MORT,PER_100000_LIVE_BIRTHS,231
2015,SH_STA_MORT,PER_100000_LIVE_BIRTHS,236
2016,SH_STA_MORT,PER_100000_LIVE_BIRTHS,200
2017,SH_STA_MORT,PER_100000_LIVE_BIRTHS,186
