Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2005,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,134656.0
2006,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,23534154.0
2007,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,6991027.0
2008,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,39864900.0
2009,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,22561069.0
2010,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,8433786.0
2015,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,354391634.0
2016,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,1234143198.0
2017,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,843018942.0
2018,VC_DSR_AGLH,,None,None,None,None,None,None,None,None,None,None,None,USD,11535686.0
2015,VC_DSR_CHLN,,None,None,None,None,None,None,None,None,None,None,None,USD,87300000.0
2016,VC_DSR_CHLN,,None,None,None,None,None,None,None,None,None,None,None,USD,3185040.0
2017,VC_DSR_CHLN,,None,None,None,None,None,None,None,None,None,None,None,USD,4750000.0
2005,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,4855062.0
2006,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,1380.0
2007,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,1469802.0
2008,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,6842509.0
2009,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,4958950.0
2010,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,1822486.0
2015,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,593721878.0
2016,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,16333447.0
2017,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,221556150.0
2018,VC_DSR_CILN,,None,None,None,None,None,None,None,None,None,None,None,USD,6058862.0
2015,VC_DSR_DDPA,,None,None,None,None,None,None,None,None,None,None,None,USD,1448898700.0
2005,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,41574343.0
2006,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,117206035.0
2007,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,236833953.0
2008,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,438411784.0
2009,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,168002332.0
2010,VC_DSR_GDPLS,,None,None,None,None,None,None,None,None,None,None,None,USD,299374971.0
