Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
1995,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,1781
2000,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2532
2005,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2532
2010,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,2776
2012,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4155
2014,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4667
2016,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4671
2017,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4671
2018,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4671
2019,ER_GRF_PLNTSTOR,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,4671
