Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,CUST_BREAKDOWN_LB,Value
2003,EN_REF_WASCOL,,None,None,None,None,None,None,C01,None,None,None,None,PT,Kathmandu,94
2009,EN_REF_WASCOL,,None,None,None,None,None,None,C02,None,None,None,None,PT,Ghorai,83
