Year,Series,REF_AREA,Units,Value
2000,EG_EGY_CLEAN,524,PT,7
2001,EG_EGY_CLEAN,524,PT,8
2002,EG_EGY_CLEAN,524,PT,9
2003,EG_EGY_CLEAN,524,PT,10
2004,EG_EGY_CLEAN,524,PT,12
2005,EG_EGY_CLEAN,524,PT,14
2006,EG_EGY_CLEAN,524,PT,15
2007,EG_EGY_CLEAN,524,PT,17
2008,EG_EGY_CLEAN,524,PT,18
2009,EG_EGY_CLEAN,524,PT,20
2010,EG_EGY_CLEAN,524,PT,21
2011,EG_EGY_CLEAN,524,PT,22
2012,EG_EGY_CLEAN,524,PT,24
2013,EG_EGY_CLEAN,524,PT,25
2014,EG_EGY_CLEAN,524,PT,26
2015,EG_EGY_CLEAN,524,PT,27
2016,EG_EGY_CLEAN,524,PT,28
2017,EG_EGY_CLEAN,524,PT,29
2018,EG_EGY_CLEAN,524,PT,29
