Year,Series,REF_AREA,Units,Value
2000,EG_FEC_RNEW,524,PT,88.29
2001,EG_FEC_RNEW,524,PT,87.76
2002,EG_FEC_RNEW,524,PT,89.95
2003,EG_FEC_RNEW,524,PT,89.44
2004,EG_FEC_RNEW,524,PT,90.3
2005,EG_FEC_RNEW,524,PT,89.52
2006,EG_FEC_RNEW,524,PT,91.25
2007,EG_FEC_RNEW,524,PT,91.31
2008,EG_FEC_RNEW,524,PT,90.47
2009,EG_FEC_RNEW,524,PT,88.93
2010,EG_FEC_RNEW,524,PT,87.29
2011,EG_FEC_RNEW,524,PT,86.95
2012,EG_FEC_RNEW,524,PT,84.7
2013,EG_FEC_RNEW,524,PT,86.05
2014,EG_FEC_RNEW,524,PT,84.06
2015,EG_FEC_RNEW,524,PT,85.04
2016,EG_FEC_RNEW,524,PT,79.2
2017,EG_FEC_RNEW,524,PT,76.56
