Year,Value
2006,1.6551
2007,1.09794
2008,2.13111
2009,8.57569
2010,9.1378
2011,10.59542
2012,7.94233
2013,7.79747
2014,5.95644
2015,6.93319
2016,4.66682
2017,5.27361
2018,4.30199
