Year,Series,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Units,Value
2014,SE_TOT_CPLR,M,R,Q5,ISCED11_2,PT,79.11438
2007,SE_TOT_CPLR,M,R,Q5,ISCED11_3,PT,25.81477
2007,SE_TOT_CPLR,M,U,,ISCED11_1,PT,76.88461
2011,SE_TOT_CPLR,M,U,,ISCED11_1,PT,87.42595
2014,SE_TOT_CPLR,M,U,,ISCED11_1,PT,86.84059
2016,SE_TOT_CPLR,M,U,,ISCED11_1,PT,86.22394
2007,SE_TOT_CPLR,M,U,,ISCED11_2,PT,69.50385
2011,SE_TOT_CPLR,M,U,,ISCED11_2,PT,78.21576
2014,SE_TOT_CPLR,M,U,,ISCED11_2,PT,79.74046
2016,SE_TOT_CPLR,M,U,,ISCED11_2,PT,76.09844
2007,SE_TOT_CPLR,M,U,,ISCED11_3,PT,19.07345
2007,SE_TOT_CPLR,M,U,Q1,ISCED11_1,PT,51.01226
2014,SE_TOT_CPLR,M,U,Q1,ISCED11_1,PT,80.94787
2016,SE_TOT_CPLR,M,U,Q1,ISCED11_1,PT,76.74567
2014,SE_TOT_CPLR,M,U,Q1,ISCED11_2,PT,41.6214
2016,SE_TOT_CPLR,M,U,Q1,ISCED11_2,PT,46.37322
2011,SE_TOT_CPLR,M,U,Q2,ISCED11_1,PT,50.53035
2014,SE_TOT_CPLR,M,U,Q2,ISCED11_1,PT,76.22314
2016,SE_TOT_CPLR,M,U,Q2,ISCED11_1,PT,85.16776
2007,SE_TOT_CPLR,M,U,Q2,ISCED11_2,PT,20.04698
2014,SE_TOT_CPLR,M,U,Q2,ISCED11_2,PT,76.58688
2016,SE_TOT_CPLR,M,U,Q2,ISCED11_2,PT,59.59055
2007,SE_TOT_CPLR,M,U,Q3,ISCED11_1,PT,47.9758
2011,SE_TOT_CPLR,M,U,Q3,ISCED11_1,PT,83.8007
2014,SE_TOT_CPLR,M,U,Q3,ISCED11_1,PT,84.83354
2016,SE_TOT_CPLR,M,U,Q3,ISCED11_1,PT,82.8844
2007,SE_TOT_CPLR,M,U,Q3,ISCED11_2,PT,30.84559
2011,SE_TOT_CPLR,M,U,Q3,ISCED11_2,PT,69.36165
2014,SE_TOT_CPLR,M,U,Q3,ISCED11_2,PT,79.68967
2016,SE_TOT_CPLR,M,U,Q3,ISCED11_2,PT,71.2562
2007,SE_TOT_CPLR,M,U,Q4,ISCED11_1,PT,67.19431
2011,SE_TOT_CPLR,M,U,Q4,ISCED11_1,PT,85.98402
2014,SE_TOT_CPLR,M,U,Q4,ISCED11_1,PT,73.38802
2016,SE_TOT_CPLR,M,U,Q4,ISCED11_1,PT,87.12906
2007,SE_TOT_CPLR,M,U,Q4,ISCED11_2,PT,56.59568
2011,SE_TOT_CPLR,M,U,Q4,ISCED11_2,PT,63.48729
2014,SE_TOT_CPLR,M,U,Q4,ISCED11_2,PT,66.93819
2016,SE_TOT_CPLR,M,U,Q4,ISCED11_2,PT,79.10221
2007,SE_TOT_CPLR,M,U,Q4,ISCED11_3,PT,8.77095
2007,SE_TOT_CPLR,M,U,Q5,ISCED11_1,PT,83.08259
2011,SE_TOT_CPLR,M,U,Q5,ISCED11_1,PT,92.39951
2014,SE_TOT_CPLR,M,U,Q5,ISCED11_1,PT,93.86486
2016,SE_TOT_CPLR,M,U,Q5,ISCED11_1,PT,93.66945
2007,SE_TOT_CPLR,M,U,Q5,ISCED11_2,PT,76.21151
2011,SE_TOT_CPLR,M,U,Q5,ISCED11_2,PT,90.72115
2014,SE_TOT_CPLR,M,U,Q5,ISCED11_2,PT,86.83593
2016,SE_TOT_CPLR,M,U,Q5,ISCED11_2,PT,93.41608
2007,SE_TOT_CPLR,M,U,Q5,ISCED11_3,PT,22.85636
