Year,Series,REF_AREA,Units,Value
1993,ER_RSK_LST,524,IX,0.83826
1994,ER_RSK_LST,524,IX,0.83783
1995,ER_RSK_LST,524,IX,0.83737
1996,ER_RSK_LST,524,IX,0.83668
1997,ER_RSK_LST,524,IX,0.8361
1998,ER_RSK_LST,524,IX,0.83544
1999,ER_RSK_LST,524,IX,0.83475
2000,ER_RSK_LST,524,IX,0.83428
2001,ER_RSK_LST,524,IX,0.83373
2002,ER_RSK_LST,524,IX,0.83346
2003,ER_RSK_LST,524,IX,0.83318
2004,ER_RSK_LST,524,IX,0.83291
2005,ER_RSK_LST,524,IX,0.83275
2006,ER_RSK_LST,524,IX,0.83229
2007,ER_RSK_LST,524,IX,0.83217
2008,ER_RSK_LST,524,IX,0.83203
2009,ER_RSK_LST,524,IX,0.83188
2010,ER_RSK_LST,524,IX,0.8317
2011,ER_RSK_LST,524,IX,0.83178
2012,ER_RSK_LST,524,IX,0.83183
2013,ER_RSK_LST,524,IX,0.83169
2014,ER_RSK_LST,524,IX,0.8314
2015,ER_RSK_LST,524,IX,0.83119
2016,ER_RSK_LST,524,IX,0.83123
2017,ER_RSK_LST,524,IX,0.83107
2018,ER_RSK_LST,524,IX,0.8307
2019,ER_RSK_LST,524,IX,0.83087
2020,ER_RSK_LST,524,IX,0.83043
