Year,Series,REF_AREA,Units,Value
2000,SH_STA_MALR,,PER_1000_POP,7.17938
2001,SH_STA_MALR,,PER_1000_POP,8.20604
2002,SH_STA_MALR,,PER_1000_POP,12.34522
2003,SH_STA_MALR,,PER_1000_POP,10.40495
2004,SH_STA_MALR,,PER_1000_POP,4.8999
2005,SH_STA_MALR,,PER_1000_POP,5.01304
2006,SH_STA_MALR,,PER_1000_POP,4.88751
2007,SH_STA_MALR,,PER_1000_POP,5.72187
2008,SH_STA_MALR,,PER_1000_POP,4.1647
2009,SH_STA_MALR,,PER_1000_POP,3.28598
2010,SH_STA_MALR,,PER_1000_POP,3.86666
2011,SH_STA_MALR,,PER_1000_POP,3.04439
2012,SH_STA_MALR,,PER_1000_POP,2.35155
2013,SH_STA_MALR,,PER_1000_POP,1.30084
2014,SH_STA_MALR,,PER_1000_POP,0.62559
2015,SH_STA_MALR,,PER_1000_POP,0.56389
2016,SH_STA_MALR,,PER_1000_POP,0.42621
2017,SH_STA_MALR,,PER_1000_POP,0.38535
2018,SH_STA_MALR,,PER_1000_POP,0.54539
2019,SH_STA_MALR,,PER_1000_POP,0.08152
