Year,Series,SEX,AGE,Units,Value
2008,SL_TLF_UEM,,Y_GE15,PT,1.33
2017,SL_TLF_UEM,,Y_GE15,PT,11.36
2008,SL_TLF_UEM,,Y_GE25,PT,0.99
2017,SL_TLF_UEM,,Y_GE25,PT,8.82
2008,SL_TLF_UEM,,Y15T24,PT,2.18
2017,SL_TLF_UEM,,Y15T24,PT,21.36
2008,SL_TLF_UEM,F,Y_GE15,PT,1.08
2017,SL_TLF_UEM,F,Y_GE15,PT,13.06
2008,SL_TLF_UEM,F,Y_GE25,PT,0.86
2017,SL_TLF_UEM,F,Y_GE25,PT,10.2
2008,SL_TLF_UEM,F,Y15T24,PT,1.59
2017,SL_TLF_UEM,F,Y15T24,PT,23.91
2008,SL_TLF_UEM,M,Y_GE15,PT,1.59
2017,SL_TLF_UEM,M,Y_GE15,PT,10.31
2008,SL_TLF_UEM,M,Y_GE25,PT,1.11
2017,SL_TLF_UEM,M,Y_GE25,PT,7.98
2008,SL_TLF_UEM,M,Y15T24,PT,2.91
2017,SL_TLF_UEM,M,Y15T24,PT,19.71
