Year,Series,REF_AREA,SEX,AGE,Units,Value
1995,SI_POV_DAY1,524,,,PT,66.0
2003,SI_POV_DAY1,524,,,PT,50.0
2010,SI_POV_DAY1,524,,,PT,15.0
2003,SI_POV_EMP1,524,,Y_GE15,PT,41.2
2010,SI_POV_EMP1,524,,Y_GE15,PT,12.6
2003,SI_POV_EMP1,524,,Y_GE25,PT,41.1
2010,SI_POV_EMP1,524,,Y_GE25,PT,12.7
2003,SI_POV_EMP1,524,,Y15T24,PT,41.3
2010,SI_POV_EMP1,524,,Y15T24,PT,12.5
2003,SI_POV_EMP1,524,F,Y_GE15,PT,40.9
2010,SI_POV_EMP1,524,F,Y_GE15,PT,12.9
2003,SI_POV_EMP1,524,F,Y_GE25,PT,40.4
2010,SI_POV_EMP1,524,F,Y_GE25,PT,12.3
2003,SI_POV_EMP1,524,F,Y15T24,PT,41.9
2010,SI_POV_EMP1,524,F,Y15T24,PT,14.1
2003,SI_POV_EMP1,524,M,Y_GE15,PT,41.5
2010,SI_POV_EMP1,524,M,Y_GE15,PT,12.4
2003,SI_POV_EMP1,524,M,Y_GE25,PT,41.8
2010,SI_POV_EMP1,524,M,Y_GE25,PT,13.0
2003,SI_POV_EMP1,524,M,Y15T24,PT,40.7
2010,SI_POV_EMP1,524,M,Y15T24,PT,10.8
