Year,SERIES,UNIT_MEASURE,Value
2011,SI_RMT_COST,PT,5.58
2015,SI_RMT_COST,PT,3.57
2017,SI_RMT_COST,PT,4.69
2018,SI_RMT_COST,PT,5.02
2019,SI_RMT_COST,PT,4.82
