Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2005,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,8170.754
2006,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,310052.76347
2007,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,83818.11452
2008,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,410644.96231
2009,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,203757.86395
2010,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,220624.86523
2011,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,13992.0
2012,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,39128.0
2013,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,27196.0
2014,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,364259.0
2015,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,10230262.0
2016,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,84580.0
2017,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,1111595.0
2018,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,64255.0
2019,VC_DSR_AFFCT,,None,None,None,None,None,None,None,None,None,None,None,NUMBER,183401.0
2005,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,33.43899
2006,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,1251.89777
2007,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,333.89763
2008,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,1613.92792
2009,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,790.0857
2010,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,844.02725
2011,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,52.81095
2012,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,145.60304
2013,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,99.77493
2014,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,1317.58049
2015,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,36487.25668
2016,VC_DSR_DAFF,,None,None,None,None,None,None,None,None,None,None,None,PER_100000_POP,297.48701
