Year,Series,REF_AREA,URBANISATION,Units,Value
2010,ER_H2O_PRDU,524,R,NUMBER,10
2012,ER_H2O_PRDU,524,R,NUMBER,10
2014,ER_H2O_PRDU,524,R,NUMBER,10
2017,ER_H2O_PRDU,524,R,NUMBER,10
2019,ER_H2O_PRDU,524,R,NUMBER,10
2010,ER_H2O_RURP,524,R,NUMBER,0
2012,ER_H2O_RURP,524,R,NUMBER,0
2014,ER_H2O_RURP,524,R,NUMBER,2
2017,ER_H2O_RURP,524,R,NUMBER,3
2019,ER_H2O_RURP,524,R,NUMBER,2
2017,ER_WAT_PART,524,,NUMBER,1
2019,ER_WAT_PART,524,,NUMBER,1
2017,ER_WAT_PRDU,524,,NUMBER,10
2019,ER_WAT_PRDU,524,,NUMBER,10
