Year,Series,REF_AREA,Units,Value
2001,SN_ITK_DEFC,,PT,23.6
2002,SN_ITK_DEFC,,PT,21.9
2003,SN_ITK_DEFC,,PT,19.9
2004,SN_ITK_DEFC,,PT,17.7
2005,SN_ITK_DEFC,,PT,16.9
2006,SN_ITK_DEFC,,PT,16.0
2007,SN_ITK_DEFC,,PT,15.0
2008,SN_ITK_DEFC,,PT,13.1
2009,SN_ITK_DEFC,,PT,11.5
2010,SN_ITK_DEFC,,PT,9.9
2011,SN_ITK_DEFC,,PT,8.4
2012,SN_ITK_DEFC,,PT,7.1
2013,SN_ITK_DEFC,,PT,6.6
2014,SN_ITK_DEFC,,PT,6.5
2015,SN_ITK_DEFC,,PT,6.4
2016,SN_ITK_DEFC,,PT,6.0
2017,SN_ITK_DEFC,,PT,6.0
2018,SN_ITK_DEFC,,PT,6.1
2001,SN_ITK_DEFCN,,NUMBER,5.7
2002,SN_ITK_DEFCN,,NUMBER,5.4
2003,SN_ITK_DEFCN,,NUMBER,5.0
2004,SN_ITK_DEFCN,,NUMBER,4.5
2005,SN_ITK_DEFCN,,NUMBER,4.3
2006,SN_ITK_DEFCN,,NUMBER,4.2
2007,SN_ITK_DEFCN,,NUMBER,4.0
2008,SN_ITK_DEFCN,,NUMBER,3.5
2009,SN_ITK_DEFCN,,NUMBER,3.1
2010,SN_ITK_DEFCN,,NUMBER,2.7
2011,SN_ITK_DEFCN,,NUMBER,2.3
2012,SN_ITK_DEFCN,,NUMBER,1.9
2013,SN_ITK_DEFCN,,NUMBER,1.8
2014,SN_ITK_DEFCN,,NUMBER,1.7
2015,SN_ITK_DEFCN,,NUMBER,1.7
2016,SN_ITK_DEFCN,,NUMBER,1.6
2017,SN_ITK_DEFCN,,NUMBER,1.7
2018,SN_ITK_DEFCN,,NUMBER,1.7
