Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2000,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,36775.0
2005,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,43208.0
2010,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,47892.0
2015,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,53981.0
2016,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,55127.0
2000,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,11310.0
2005,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,13128.0
2010,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,14376.0
2015,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,16601.0
2016,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,17049.0
2000,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,15477.0
2005,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,16520.0
2010,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,17302.0
2015,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,18681.0
2016,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,18952.0
2000,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,3270.0
2005,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,4203.0
2010,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,5020.0
2015,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,6285.0
2016,SH_DTH_NCD,,None,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,6555.0
2000,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,15952.0
2005,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,17803.0
2010,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,19391.0
2015,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,22088.0
2016,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,22577.0
2000,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,6266.0
2005,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,7086.0
2010,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,7568.0
2015,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,8770.0
2016,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,8998.0
2000,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,8433.0
2005,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,9084.0
2010,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,9482.0
2015,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,10262.0
2016,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,10413.0
2000,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,1939.0
2005,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,2514.0
2010,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,2984.0
2015,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,3790.0
2016,SH_DTH_NCD,,F,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,3964.0
2000,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,20824.0
2005,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,25405.0
2010,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,28502.0
2015,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,31893.0
2016,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CARDIO,None,None,None,NUMBER,32550.0
2000,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,5044.0
2005,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,6043.0
2010,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,6809.0
2015,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,7831.0
2016,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CNCR,None,None,None,NUMBER,8051.0
2000,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,7044.0
2005,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,7437.0
2010,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,7820.0
2015,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,8419.0
2016,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_CRESPD,None,None,None,NUMBER,8539.0
2000,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,1331.0
2005,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,1689.0
2010,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,2037.0
2015,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,2495.0
2016,SH_DTH_NCD,,M,None,None,None,None,None,None,NCD_DIABTS,None,None,None,NUMBER,2591.0
2000,SH_DTH_NCOM,,None,Y30T70,None,None,None,None,None,None,None,None,None,PT,27.3
2005,SH_DTH_NCOM,,None,Y30T70,None,None,None,None,None,None,None,None,None,PT,25.8
2010,SH_DTH_NCOM,,None,Y30T70,None,None,None,None,None,None,None,None,None,PT,23.8
2015,SH_DTH_NCOM,,None,Y30T70,None,None,None,None,None,None,None,None,None,PT,22.2
2016,SH_DTH_NCOM,,None,Y30T70,None,None,None,None,None,None,None,None,None,PT,21.8
2000,SH_DTH_NCOM,,F,Y30T70,None,None,None,None,None,None,None,None,None,PT,24.2
2005,SH_DTH_NCOM,,F,Y30T70,None,None,None,None,None,None,None,None,None,PT,22.9
2010,SH_DTH_NCOM,,F,Y30T70,None,None,None,None,None,None,None,None,None,PT,21.1
2015,SH_DTH_NCOM,,F,Y30T70,None,None,None,None,None,None,None,None,None,PT,19.6
2016,SH_DTH_NCOM,,F,Y30T70,None,None,None,None,None,None,None,None,None,PT,19.2
2000,SH_DTH_NCOM,,M,Y30T70,None,None,None,None,None,None,None,None,None,PT,30.7
2005,SH_DTH_NCOM,,M,Y30T70,None,None,None,None,None,None,None,None,None,PT,28.7
2010,SH_DTH_NCOM,,M,Y30T70,None,None,None,None,None,None,None,None,None,PT,26.5
2015,SH_DTH_NCOM,,M,Y30T70,None,None,None,None,None,None,None,None,None,PT,25.2
2016,SH_DTH_NCOM,,M,Y30T70,None,None,None,None,None,None,None,None,None,PT,24.8
