Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2006,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.38
2007,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.42
2008,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.5
2009,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.56
2010,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.62
2011,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.68
2012,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.76
2013,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.82
2014,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.92
2015,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.98
2016,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,1.98
2017,ER_H2O_WUEYST,,None,None,None,None,None,None,None,None,None,None,None,USD_PER_M3,2.13
