Year,SOURCE_DETAIL,SERIES,COMPOSITE_BREAKDOWN,COMMENT_OBS,Value
2015,IBRD Financial Statements June 2134,SG_INT_VRTDEV,IO_IBRD,,0.07314
2016,IBRD Financial Statements June 2134,SG_INT_VRTDEV,IO_IBRD,,0.07
2017,IBRD Financial Statements June 2134,SG_INT_VRTDEV,IO_IBRD,,0.08889
2018,IBRD Financial Statements June 2134,SG_INT_VRTDEV,IO_IBRD,,0.08763
2019,IBRD Financial Statements June 2134,SG_INT_VRTDEV,IO_IBRD,,0.08656
2000,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.04465
2005,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.04451
2010,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.04439
2015,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.0605
2016,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.0605
2017,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.0605
2018,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.06043
2019,IFC Annual Report  Financial Statements,SG_INT_VRTDEV,IO_IFC,,0.05985
2000,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.04498
2005,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.04427
2010,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.04348
2015,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.05757
2016,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.061
2017,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.06029
2018,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.0603
2019,IMF Annual Report 2019,SG_INT_VRTDEV,IO_IMF,,0.06028
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.52083
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.51813
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.51813
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.51813
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.51813
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_VRTDEV,IO_UNGA,,0.51813
2000,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.0
2005,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.67114
2010,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.65359
2015,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.625
2016,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.61728
2017,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.60976
2018,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.60976
2019,WTO Annual Report 2019,SG_INT_VRTDEV,IO_WTO,Obs_Value = 0;,0.60976
