Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2001,SH_STA_STNT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,57.07563
2006,SH_STA_STNT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,49.22741
2011,SH_STA_STNT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,40.51385
2014,SH_STA_STNT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,37.46835
2016,SH_STA_STNT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,36.02018
2001,SH_STA_STNTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,2055.38688
2006,SH_STA_STNTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,1596.51079
2011,SH_STA_STNTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,1208.71975
2014,SH_STA_STNTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,1057.80054
2016,SH_STA_STNTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,997.45743
