Year,Series,REF_AREA,URBANISATION,Units,Value
2000,SH_SAN_DEFECT,524,,PT,66.88317
2001,SH_SAN_DEFECT,524,,PT,63.98527
2002,SH_SAN_DEFECT,524,,PT,61.24088
2003,SH_SAN_DEFECT,524,,PT,58.50689
2004,SH_SAN_DEFECT,524,,PT,55.78364
2005,SH_SAN_DEFECT,524,,PT,53.07146
2006,SH_SAN_DEFECT,524,,PT,50.37069
2007,SH_SAN_DEFECT,524,,PT,47.68124
2008,SH_SAN_DEFECT,524,,PT,45.00389
2009,SH_SAN_DEFECT,524,,PT,42.33896
2010,SH_SAN_DEFECT,524,,PT,39.68679
2011,SH_SAN_DEFECT,524,,PT,37.04739
2012,SH_SAN_DEFECT,524,,PT,34.42002
2013,SH_SAN_DEFECT,524,,PT,31.80613
2014,SH_SAN_DEFECT,524,,PT,29.20545
2015,SH_SAN_DEFECT,524,,PT,26.61907
2016,SH_SAN_DEFECT,524,,PT,24.04713
2017,SH_SAN_DEFECT,524,,PT,21.49045
2000,SH_SAN_DEFECT,524,R,PT,74.21656
2001,SH_SAN_DEFECT,524,R,PT,71.31458
2002,SH_SAN_DEFECT,524,R,PT,68.4126
2003,SH_SAN_DEFECT,524,R,PT,65.51062
2004,SH_SAN_DEFECT,524,R,PT,62.60864
2005,SH_SAN_DEFECT,524,R,PT,59.70666
2006,SH_SAN_DEFECT,524,R,PT,56.80468
2007,SH_SAN_DEFECT,524,R,PT,53.9027
2008,SH_SAN_DEFECT,524,R,PT,51.00072
2009,SH_SAN_DEFECT,524,R,PT,48.09874
2010,SH_SAN_DEFECT,524,R,PT,45.19676
2011,SH_SAN_DEFECT,524,R,PT,42.29478
2012,SH_SAN_DEFECT,524,R,PT,39.3928
2013,SH_SAN_DEFECT,524,R,PT,36.49082
2014,SH_SAN_DEFECT,524,R,PT,33.58884
2015,SH_SAN_DEFECT,524,R,PT,30.68686
2016,SH_SAN_DEFECT,524,R,PT,27.78488
2017,SH_SAN_DEFECT,524,R,PT,24.8829
2000,SH_SAN_DEFECT,524,U,PT,19.47747
2001,SH_SAN_DEFECT,524,U,PT,18.7634
2002,SH_SAN_DEFECT,524,U,PT,18.04932
2003,SH_SAN_DEFECT,524,U,PT,17.33525
2004,SH_SAN_DEFECT,524,U,PT,16.62117
2005,SH_SAN_DEFECT,524,U,PT,15.90709
2006,SH_SAN_DEFECT,524,U,PT,15.19302
2007,SH_SAN_DEFECT,524,U,PT,14.47894
2008,SH_SAN_DEFECT,524,U,PT,13.76487
2009,SH_SAN_DEFECT,524,U,PT,13.05079
2010,SH_SAN_DEFECT,524,U,PT,12.33672
2011,SH_SAN_DEFECT,524,U,PT,11.62264
2012,SH_SAN_DEFECT,524,U,PT,10.90856
2013,SH_SAN_DEFECT,524,U,PT,10.19449
2014,SH_SAN_DEFECT,524,U,PT,9.48041
2015,SH_SAN_DEFECT,524,U,PT,8.76634
2016,SH_SAN_DEFECT,524,U,PT,8.05226
2017,SH_SAN_DEFECT,524,U,PT,7.33819
2005,SH_SAN_HNDWSH,524,,PT,55.24303
2006,SH_SAN_HNDWSH,524,,PT,55.34751
2007,SH_SAN_HNDWSH,524,,PT,55.45398
2008,SH_SAN_HNDWSH,524,,PT,55.56213
2009,SH_SAN_HNDWSH,524,,PT,55.67194
2010,SH_SAN_HNDWSH,524,,PT,54.70482
2011,SH_SAN_HNDWSH,524,,PT,53.7321
2012,SH_SAN_HNDWSH,524,,PT,52.75477
2013,SH_SAN_HNDWSH,524,,PT,51.77163
2014,SH_SAN_HNDWSH,524,,PT,50.78327
2015,SH_SAN_HNDWSH,524,,PT,49.78883
2016,SH_SAN_HNDWSH,524,,PT,48.78854
2017,SH_SAN_HNDWSH,524,,PT,47.78184
2005,SH_SAN_HNDWSH,524,R,PT,50.18665
2006,SH_SAN_HNDWSH,524,R,PT,50.18665
2007,SH_SAN_HNDWSH,524,R,PT,50.18665
2008,SH_SAN_HNDWSH,524,R,PT,50.18665
2009,SH_SAN_HNDWSH,524,R,PT,50.18665
2010,SH_SAN_HNDWSH,524,R,PT,49.29575
2011,SH_SAN_HNDWSH,524,R,PT,48.40486
2012,SH_SAN_HNDWSH,524,R,PT,47.51396
2013,SH_SAN_HNDWSH,524,R,PT,46.62307
2014,SH_SAN_HNDWSH,524,R,PT,45.73217
2015,SH_SAN_HNDWSH,524,R,PT,44.84127
2016,SH_SAN_HNDWSH,524,R,PT,43.95038
2017,SH_SAN_HNDWSH,524,R,PT,43.05948
2005,SH_SAN_HNDWSH,524,U,PT,83.56433
2006,SH_SAN_HNDWSH,524,U,PT,83.56433
2007,SH_SAN_HNDWSH,524,U,PT,83.56433
2008,SH_SAN_HNDWSH,524,U,PT,83.56433
2009,SH_SAN_HNDWSH,524,U,PT,83.56433
2010,SH_SAN_HNDWSH,524,U,PT,81.55405
2011,SH_SAN_HNDWSH,524,U,PT,79.54378
2012,SH_SAN_HNDWSH,524,U,PT,77.5335
2013,SH_SAN_HNDWSH,524,U,PT,75.52322
2014,SH_SAN_HNDWSH,524,U,PT,73.51294
2015,SH_SAN_HNDWSH,524,U,PT,71.50266
2016,SH_SAN_HNDWSH,524,U,PT,69.49239
2017,SH_SAN_HNDWSH,524,U,PT,67.48211
