Year,Series,REF_AREA,Units,Value
2000,IT_USE_II99,,PER_100_POP,0.205
2001,IT_USE_II99,,PER_100_POP,0.24
2002,IT_USE_II99,,PER_100_POP,0.313
2003,IT_USE_II99,,PER_100_POP,0.383
2004,IT_USE_II99,,PER_100_POP,0.45
2005,IT_USE_II99,,PER_100_POP,0.827
2006,IT_USE_II99,,PER_100_POP,1.141
2007,IT_USE_II99,,PER_100_POP,1.41
2008,IT_USE_II99,,PER_100_POP,1.73
2009,IT_USE_II99,,PER_100_POP,1.97
2010,IT_USE_II99,,PER_100_POP,7.93
2011,IT_USE_II99,,PER_100_POP,9.0
2012,IT_USE_II99,,PER_100_POP,11.149
2013,IT_USE_II99,,PER_100_POP,13.3
2014,IT_USE_II99,,PER_100_POP,15.44
2015,IT_USE_II99,,PER_100_POP,17.582
2016,IT_USE_II99,,PER_100_POP,19.689
2017,IT_USE_II99,,PER_100_POP,34.0
