Year,Series,REF_AREA,Units,Value
2000,NY_GDP_PCAP,524,PT,4.2
2001,NY_GDP_PCAP,524,PT,3.87
2002,NY_GDP_PCAP,524,PT,-1.41
2003,NY_GDP_PCAP,524,PT,2.47
2004,NY_GDP_PCAP,524,PT,3.29
2005,NY_GDP_PCAP,524,PT,2.17
2006,NY_GDP_PCAP,524,PT,2.09
2007,NY_GDP_PCAP,524,PT,2.17
2008,NY_GDP_PCAP,524,PT,4.97
2009,NY_GDP_PCAP,524,PT,3.69
2010,NY_GDP_PCAP,524,PT,4.31
2011,NY_GDP_PCAP,524,PT,3.31
2012,NY_GDP_PCAP,524,PT,4.98
2013,NY_GDP_PCAP,524,PT,4.41
2014,NY_GDP_PCAP,524,PT,6.03
2015,NY_GDP_PCAP,524,PT,2.91
2016,NY_GDP_PCAP,524,PT,-0.33
2017,NY_GDP_PCAP,524,PT,6.78
2018,NY_GDP_PCAP,524,PT,4.9
