Year,Series,REF_AREA,Units,Value
2005,VC_DSR_AFFCT,524,NUMBER,8170.754
2006,VC_DSR_AFFCT,524,NUMBER,310052.76347
2007,VC_DSR_AFFCT,524,NUMBER,83818.11452
2008,VC_DSR_AFFCT,524,NUMBER,410644.96231
2009,VC_DSR_AFFCT,524,NUMBER,203757.86395
2010,VC_DSR_AFFCT,524,NUMBER,220624.86523
2011,VC_DSR_AFFCT,524,NUMBER,13992.0
2012,VC_DSR_AFFCT,524,NUMBER,39128.0
2013,VC_DSR_AFFCT,524,NUMBER,27196.0
2014,VC_DSR_AFFCT,524,NUMBER,364259.0
2015,VC_DSR_AFFCT,524,NUMBER,10230262.0
2016,VC_DSR_AFFCT,524,NUMBER,84580.0
2017,VC_DSR_AFFCT,524,NUMBER,1111595.0
2018,VC_DSR_AFFCT,524,NUMBER,64255.0
2019,VC_DSR_AFFCT,524,NUMBER,183401.0
2005,VC_DSR_DAFF,524,PER_100000_POP,33.43899
2006,VC_DSR_DAFF,524,PER_100000_POP,1251.89777
2007,VC_DSR_DAFF,524,PER_100000_POP,333.89763
2008,VC_DSR_DAFF,524,PER_100000_POP,1613.92792
2009,VC_DSR_DAFF,524,PER_100000_POP,790.0857
2010,VC_DSR_DAFF,524,PER_100000_POP,844.02725
2011,VC_DSR_DAFF,524,PER_100000_POP,52.81095
2012,VC_DSR_DAFF,524,PER_100000_POP,145.60304
2013,VC_DSR_DAFF,524,PER_100000_POP,99.77493
2014,VC_DSR_DAFF,524,PER_100000_POP,1317.58049
2015,VC_DSR_DAFF,524,PER_100000_POP,36487.25668
2016,VC_DSR_DAFF,524,PER_100000_POP,297.48701
2017,VC_DSR_DAFF,524,PER_100000_POP,3856.26248
2018,VC_DSR_DAFF,524,PER_100000_POP,219.90928
2019,VC_DSR_DAFF,524,PER_100000_POP,641.06689
2005,VC_DSR_IJILN,524,NUMBER,165.0
2006,VC_DSR_IJILN,524,NUMBER,5859.0
2007,VC_DSR_IJILN,524,NUMBER,4694.0
2008,VC_DSR_IJILN,524,NUMBER,1267.0
2009,VC_DSR_IJILN,524,NUMBER,1305.0
2010,VC_DSR_IJILN,524,NUMBER,581.0
2011,VC_DSR_IJILN,524,NUMBER,408.0
2012,VC_DSR_IJILN,524,NUMBER,485.0
2013,VC_DSR_IJILN,524,NUMBER,518.0
2014,VC_DSR_IJILN,524,NUMBER,479.0
2015,VC_DSR_IJILN,524,NUMBER,22663.0
2016,VC_DSR_IJILN,524,NUMBER,764.0
2017,VC_DSR_IJILN,524,NUMBER,737.0
2018,VC_DSR_IJILN,524,NUMBER,2902.0
2019,VC_DSR_IJILN,524,NUMBER,2452.0
2005,VC_DSR_MISS,524,NUMBER,100.0
2006,VC_DSR_MISS,524,NUMBER,101.0
2007,VC_DSR_MISS,524,NUMBER,92.0
2008,VC_DSR_MISS,524,NUMBER,125.0
2009,VC_DSR_MISS,524,NUMBER,140.0
2010,VC_DSR_MISS,524,NUMBER,142.0
2011,VC_DSR_MISS,524,NUMBER,135.0
2012,VC_DSR_MISS,524,NUMBER,50.0
2013,VC_DSR_MISS,524,NUMBER,184.0
2014,VC_DSR_MISS,524,NUMBER,281.0
2015,VC_DSR_MISS,524,NUMBER,212.0
2016,VC_DSR_MISS,524,NUMBER,47.0
2017,VC_DSR_MISS,524,NUMBER,67.0
2018,VC_DSR_MISS,524,NUMBER,9.0
2019,VC_DSR_MISS,524,NUMBER,41.0
2005,VC_DSR_MMHN,524,NUMBER,433.0
2006,VC_DSR_MMHN,524,NUMBER,700.0
2007,VC_DSR_MMHN,524,NUMBER,729.0
2008,VC_DSR_MMHN,524,NUMBER,1061.0
2009,VC_DSR_MMHN,524,NUMBER,1400.0
2010,VC_DSR_MMHN,524,NUMBER,1144.0
2011,VC_DSR_MMHN,524,NUMBER,553.0
2012,VC_DSR_MMHN,524,NUMBER,492.0
2013,VC_DSR_MMHN,524,NUMBER,640.0
2014,VC_DSR_MMHN,524,NUMBER,784.0
2015,VC_DSR_MMHN,524,NUMBER,9460.0
2016,VC_DSR_MMHN,524,NUMBER,497.0
2017,VC_DSR_MMHN,524,NUMBER,557.0
2018,VC_DSR_MMHN,524,NUMBER,487.0
2019,VC_DSR_MMHN,524,NUMBER,530.0
2005,VC_DSR_MORT,524,NUMBER,333.0
2006,VC_DSR_MORT,524,NUMBER,599.0
2007,VC_DSR_MORT,524,NUMBER,637.0
2008,VC_DSR_MORT,524,NUMBER,936.0
2009,VC_DSR_MORT,524,NUMBER,1260.0
2010,VC_DSR_MORT,524,NUMBER,1002.0
2011,VC_DSR_MORT,524,NUMBER,418.0
2012,VC_DSR_MORT,524,NUMBER,442.0
2013,VC_DSR_MORT,524,NUMBER,456.0
2014,VC_DSR_MORT,524,NUMBER,503.0
2015,VC_DSR_MORT,524,NUMBER,9248.0
2016,VC_DSR_MORT,524,NUMBER,450.0
2017,VC_DSR_MORT,524,NUMBER,490.0
2018,VC_DSR_MORT,524,NUMBER,478.0
2019,VC_DSR_MORT,524,NUMBER,489.0
2005,VC_DSR_MTMP,524,PER_100000_POP,1.77206
2006,VC_DSR_MTMP,524,PER_100000_POP,2.82638
2007,VC_DSR_MTMP,524,PER_100000_POP,2.90404
2008,VC_DSR_MTMP,524,PER_100000_POP,4.16997
2009,VC_DSR_MTMP,524,PER_100000_POP,5.4286
2010,VC_DSR_MTMP,524,PER_100000_POP,4.37651
2011,VC_DSR_MTMP,524,PER_100000_POP,2.08723
2012,VC_DSR_MTMP,524,PER_100000_POP,1.83083
2013,VC_DSR_MTMP,524,PER_100000_POP,2.34799
2014,VC_DSR_MTMP,524,PER_100000_POP,2.83585
2015,VC_DSR_MTMP,524,PER_100000_POP,33.74004
2016,VC_DSR_MTMP,524,PER_100000_POP,1.74806
2017,VC_DSR_MTMP,524,PER_100000_POP,1.9323
2018,VC_DSR_MTMP,524,PER_100000_POP,1.66673
2019,VC_DSR_MTMP,524,PER_100000_POP,1.85258
2005,VC_DSR_PDAN,524,NUMBER,2156.0
2006,VC_DSR_PDAN,524,NUMBER,46363.0
2007,VC_DSR_PDAN,524,NUMBER,7985.0
2008,VC_DSR_PDAN,524,NUMBER,17898.0
2009,VC_DSR_PDAN,524,NUMBER,49702.0
2010,VC_DSR_PDAN,524,NUMBER,153066.0
2011,VC_DSR_PDAN,524,NUMBER,3334.0
2012,VC_DSR_PDAN,524,NUMBER,3983.0
2013,VC_DSR_PDAN,524,NUMBER,1918.0
