Year,Value
2000,19.7058
2001,157.71992
2002,49.9457
2003,121.55637
2004,81.8969
2005,75.94072
2006,72.36831
2007,71.16806
2008,90.83215
2009,123.98132
2010,139.91102
2011,193.17644
2012,154.21036
2013,206.34667
2014,150.48798
2015,144.27884
2016,178.98615
2017,247.14331
2018,283.05125
