Year,Series,REF_AREA,PRODUCT,Units,Value
2015,AG_FPA_COMM,524,CPC2_1_111,IX,-0.2
2016,AG_FPA_COMM,524,CPC2_1_111,IX,-0.9
2015,AG_FPA_COMM,524,CPC2_1_113,IX,-0.1
2016,AG_FPA_COMM,524,CPC2_1_113,IX,0.0
