Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
1993,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.4979366
1994,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.2323896
1995,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.2911002
1996,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,0.9766525
1997,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.0055124
1998,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.3900609
1999,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,1.6580991
2000,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,2.0293606
2001,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,2.4468754
2002,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,11.2130196
2003,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,12.1803239
2004,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,11.30899
2005,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,14.905102
2006,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,16.0689647
2007,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,16.7918135
2008,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,21.738104
2009,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,23.2076254
2010,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,21.6469853
2011,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,22.2955954
2012,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,25.4223943
2013,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,28.9743835
2014,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,29.4388808
2015,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,31.4323744
2016,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,31.2086414
2017,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,27.5137943
2018,BX_TRF_PWKR,,None,None,None,None,None,None,None,None,None,None,None,PT,28.5596673
