Year,Series,REF_AREA,Units,Value
2015,SG_DSR_SILN,524,NUMBER,800.0
2016,SG_DSR_SILN,524,NUMBER,825.0
2017,SG_DSR_SILN,524,NUMBER,12.0
2018,SG_DSR_SILN,524,NUMBER,56.0
2019,SG_DSR_SILN,524,NUMBER,127.0
2015,SG_DSR_SILS,524,PT,23.71073
2016,SG_DSR_SILS,524,PT,24.45169
2017,SG_DSR_SILS,524,PT,1.59363
2018,SG_DSR_SILS,524,PT,7.43692
2019,SG_DSR_SILS,524,PT,16.86587
2015,SG_GOV_LOGV,524,NUMBER,3374.0
2016,SG_GOV_LOGV,524,NUMBER,3374.0
2017,SG_GOV_LOGV,524,NUMBER,753.0
2018,SG_GOV_LOGV,524,NUMBER,753.0
2019,SG_GOV_LOGV,524,NUMBER,753.0
