Year,Series,REF_AREA,Units,Value
2000,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.83
2001,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.72
2002,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.79
2003,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.71
2004,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.47
2005,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.47
2006,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.22
2007,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,7.12
2008,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.94
2009,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.84
2010,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.72
2011,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.72
2012,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.13
2013,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.57
2014,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.45
2015,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.24
2016,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.76
2017,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.61
2018,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,6.43
