Year,Series,REF_AREA,Units,Value
2019,SH_LGR_ACSRHE,524,PT,48
2019,SH_LGR_ACSRHEC1,524,PT,100
2019,SH_LGR_ACSRHEC10,524,PT,0
2019,SH_LGR_ACSRHEC11,524,PT,0
2019,SH_LGR_ACSRHEC12,524,PT,100
2019,SH_LGR_ACSRHEC13,524,PT,0
2019,SH_LGR_ACSRHEC2,524,PT,77
2019,SH_LGR_ACSRHEC3,524,PT,50
2019,SH_LGR_ACSRHEC4,524,PT,100
2019,SH_LGR_ACSRHEC5,524,PT,100
2019,SH_LGR_ACSRHEC6,524,PT,100
2019,SH_LGR_ACSRHEC7,524,PT,0
2019,SH_LGR_ACSRHEC8,524,PT,0
2019,SH_LGR_ACSRHEC9,524,PT,0
2019,SH_LGR_ACSRHES1,524,PT,82
2019,SH_LGR_ACSRHES2,524,PT,67
2019,SH_LGR_ACSRHES3,524,PT,0
2019,SH_LGR_ACSRHES4,524,PT,25
