Year,Value,Units,Series
2000,23.9283,PT,SH_H2O_SAFE
2001,24.16208,PT,SH_H2O_SAFE
2002,24.36175,PT,SH_H2O_SAFE
2003,24.56056,PT,SH_H2O_SAFE
2004,24.7585,PT,SH_H2O_SAFE
2005,24.95553,PT,SH_H2O_SAFE
2006,25.15159,PT,SH_H2O_SAFE
2007,25.34678,PT,SH_H2O_SAFE
2008,25.54093,PT,SH_H2O_SAFE
2009,25.73401,PT,SH_H2O_SAFE
2010,25.92598,PT,SH_H2O_SAFE
2011,26.11691,PT,SH_H2O_SAFE
2012,26.30714,PT,SH_H2O_SAFE
2013,26.49631,PT,SH_H2O_SAFE
2014,26.68465,PT,SH_H2O_SAFE
2015,26.87191,PT,SH_H2O_SAFE
2016,27.0582,PT,SH_H2O_SAFE
2017,27.24335,PT,SH_H2O_SAFE
