Year,Value,Units,Series
2012,0,NUMBER,ER_CBD_ABSCLRHS
2012,1,NUMBER,ER_CBD_NAGOYA
2016,0,NUMBER,ER_CBD_ORSPGRFA
2017,0,NUMBER,ER_CBD_ORSPGRFA
2018,0,NUMBER,ER_CBD_ORSPGRFA
2019,1,NUMBER,ER_CBD_ORSPGRFA
2012,1,NUMBER,ER_CBD_PTYPGRFA
2013,1,NUMBER,ER_CBD_PTYPGRFA
2014,1,NUMBER,ER_CBD_PTYPGRFA
2015,1,NUMBER,ER_CBD_PTYPGRFA
2016,1,NUMBER,ER_CBD_PTYPGRFA
2017,1,NUMBER,ER_CBD_PTYPGRFA
2018,1,NUMBER,ER_CBD_PTYPGRFA
2019,1,NUMBER,ER_CBD_PTYPGRFA
2012,256,NUMBER,ER_CBD_SMTA
2013,346,NUMBER,ER_CBD_SMTA
2014,387,NUMBER,ER_CBD_SMTA
2015,488,NUMBER,ER_CBD_SMTA
2016,520,NUMBER,ER_CBD_SMTA
2017,552,NUMBER,ER_CBD_SMTA
2018,571,NUMBER,ER_CBD_SMTA
2019,573,NUMBER,ER_CBD_SMTA
