Year,Value,SERIES,UNIT_MEASURE
2000,66.88317,SH_SAN_DEFECT,PT
2001,63.98527,SH_SAN_DEFECT,PT
2002,61.24088,SH_SAN_DEFECT,PT
2003,58.50689,SH_SAN_DEFECT,PT
2004,55.78364,SH_SAN_DEFECT,PT
2005,53.07146,SH_SAN_DEFECT,PT
2006,50.37069,SH_SAN_DEFECT,PT
2007,47.68124,SH_SAN_DEFECT,PT
2008,45.00389,SH_SAN_DEFECT,PT
2009,42.33896,SH_SAN_DEFECT,PT
2010,39.68679,SH_SAN_DEFECT,PT
2011,37.04739,SH_SAN_DEFECT,PT
2012,34.42002,SH_SAN_DEFECT,PT
2013,31.80613,SH_SAN_DEFECT,PT
2014,29.20545,SH_SAN_DEFECT,PT
2015,26.61907,SH_SAN_DEFECT,PT
2016,24.04713,SH_SAN_DEFECT,PT
2017,21.49045,SH_SAN_DEFECT,PT
2005,55.24303,SH_SAN_HNDWSH,PT
2006,55.34751,SH_SAN_HNDWSH,PT
2007,55.45398,SH_SAN_HNDWSH,PT
2008,55.56213,SH_SAN_HNDWSH,PT
2009,55.67194,SH_SAN_HNDWSH,PT
2010,54.70482,SH_SAN_HNDWSH,PT
2011,53.7321,SH_SAN_HNDWSH,PT
2012,52.75477,SH_SAN_HNDWSH,PT
2013,51.77163,SH_SAN_HNDWSH,PT
2014,50.78327,SH_SAN_HNDWSH,PT
2015,49.78883,SH_SAN_HNDWSH,PT
2016,48.78854,SH_SAN_HNDWSH,PT
2017,47.78184,SH_SAN_HNDWSH,PT
