Year,Value,SERIES,UNIT_MEASURE
2000,11.762,EG_EGY_RNEW,W_PER_CAPITA
2001,16.537,EG_EGY_RNEW,W_PER_CAPITA
2002,16.528,EG_EGY_RNEW,W_PER_CAPITA
2003,22.388,EG_EGY_RNEW,W_PER_CAPITA
2004,22.49,EG_EGY_RNEW,W_PER_CAPITA
2005,22.352,EG_EGY_RNEW,W_PER_CAPITA
2006,22.225,EG_EGY_RNEW,W_PER_CAPITA
2007,22.183,EG_EGY_RNEW,W_PER_CAPITA
2008,22.299,EG_EGY_RNEW,W_PER_CAPITA
2009,25.718,EG_EGY_RNEW,W_PER_CAPITA
2010,25.979,EG_EGY_RNEW,W_PER_CAPITA
2011,26.362,EG_EGY_RNEW,W_PER_CAPITA
2012,26.618,EG_EGY_RNEW,W_PER_CAPITA
2013,28.038,EG_EGY_RNEW,W_PER_CAPITA
2014,28.657,EG_EGY_RNEW,W_PER_CAPITA
2015,30.614,EG_EGY_RNEW,W_PER_CAPITA
2016,31.09,EG_EGY_RNEW,W_PER_CAPITA
2017,35.951,EG_EGY_RNEW,W_PER_CAPITA
2018,39.676,EG_EGY_RNEW,W_PER_CAPITA
