Year,Value,UNIT_MEASURE,SERIES
2015,77,PT,SH_IHR_CAPPRD
2018,82,PT,SH_IHR_CAPPRD
2019,85,PT,SH_IHR_CAPPRD
2020,90,PT,SH_IHR_CAPPRD
2022,95,PT,SH_IHR_CAPPRD
