Year,Value,Units,Series
2000,12.03,CON_USD,EG_IFF_RANDN
2001,5.46,CON_USD,EG_IFF_RANDN
2002,43.14,CON_USD,EG_IFF_RANDN
2003,63.72,CON_USD,EG_IFF_RANDN
2004,5.45,CON_USD,EG_IFF_RANDN
2005,40.8,CON_USD,EG_IFF_RANDN
2006,19.98,CON_USD,EG_IFF_RANDN
2007,64.45,CON_USD,EG_IFF_RANDN
2008,56.69,CON_USD,EG_IFF_RANDN
2009,52.05,CON_USD,EG_IFF_RANDN
2010,23.73,CON_USD,EG_IFF_RANDN
2011,134.89,CON_USD,EG_IFF_RANDN
2012,31.15,CON_USD,EG_IFF_RANDN
2013,319.91,CON_USD,EG_IFF_RANDN
2014,394.67,CON_USD,EG_IFF_RANDN
2015,15.5,CON_USD,EG_IFF_RANDN
2016,29.6,CON_USD,EG_IFF_RANDN
2017,10.79,CON_USD,EG_IFF_RANDN
2018,15.59,CON_USD,EG_IFF_RANDN
