Year,Value,Units,Series
2000,4.2,PT,NY_GDP_PCAP
2001,3.87,PT,NY_GDP_PCAP
2002,-1.41,PT,NY_GDP_PCAP
2003,2.47,PT,NY_GDP_PCAP
2004,3.29,PT,NY_GDP_PCAP
2005,2.17,PT,NY_GDP_PCAP
2006,2.09,PT,NY_GDP_PCAP
2007,2.17,PT,NY_GDP_PCAP
2008,4.97,PT,NY_GDP_PCAP
2009,3.69,PT,NY_GDP_PCAP
2010,4.31,PT,NY_GDP_PCAP
2011,3.31,PT,NY_GDP_PCAP
2012,4.98,PT,NY_GDP_PCAP
2013,4.41,PT,NY_GDP_PCAP
2014,6.03,PT,NY_GDP_PCAP
2015,2.91,PT,NY_GDP_PCAP
2016,-0.33,PT,NY_GDP_PCAP
2017,6.78,PT,NY_GDP_PCAP
2018,4.94,PT,NY_GDP_PCAP
2019,5.07,PT,NY_GDP_PCAP
