Year,Value,SERIES,UNIT_MEASURE
2000,15.1,GF_COM_PPPI,USD
2001,0.0,GF_COM_PPPI,USD
2002,4.9,GF_COM_PPPI,USD
2003,30.55,GF_COM_PPPI,USD
2004,5.5,GF_COM_PPPI,USD
2005,17.5,GF_COM_PPPI,USD
2006,0.0,GF_COM_PPPI,USD
2007,0.0,GF_COM_PPPI,USD
2008,4.6,GF_COM_PPPI,USD
2009,0.0,GF_COM_PPPI,USD
2010,43.6,GF_COM_PPPI,USD
2011,107.3,GF_COM_PPPI,USD
2012,966.2,GF_COM_PPPI,USD
2013,0.0,GF_COM_PPPI,USD
2014,158.9,GF_COM_PPPI,USD
2015,350.0,GF_COM_PPPI,USD
2016,26.07,GF_COM_PPPI,USD
2017,151.1,GF_COM_PPPI,USD
2018,21.4,GF_COM_PPPI,USD
2019,647.2,GF_COM_PPPI,USD
2000,22.41828,GF_COM_PPPI_KD,CON_USD
2001,0.0,GF_COM_PPPI_KD,CON_USD
2002,6.9644,GF_COM_PPPI_KD,CON_USD
2003,42.45708,GF_COM_PPPI_KD,CON_USD
2004,7.44436,GF_COM_PPPI_KD,CON_USD
2005,22.90935,GF_COM_PPPI_KD,CON_USD
2006,0.0,GF_COM_PPPI_KD,CON_USD
2007,0.0,GF_COM_PPPI_KD,CON_USD
2008,5.46219,GF_COM_PPPI_KD,CON_USD
2009,0.0,GF_COM_PPPI_KD,CON_USD
2010,50.85332,GF_COM_PPPI_KD,CON_USD
2011,121.95315,GF_COM_PPPI_KD,CON_USD
2012,1075.88303,GF_COM_PPPI_KD,CON_USD
2013,0.0,GF_COM_PPPI_KD,CON_USD
2014,171.60015,GF_COM_PPPI_KD,CON_USD
2015,377.52603,GF_COM_PPPI_KD,CON_USD
2016,27.76996,GF_COM_PPPI_KD,CON_USD
2017,157.59587,GF_COM_PPPI_KD,CON_USD
2018,21.78781,GF_COM_PPPI_KD,CON_USD
2019,647.20001,GF_COM_PPPI_KD,CON_USD
