Year,Value,SERIES,UNIT_MEASURE
2000,79.98707,SP_ACS_BSRVH2O,PT
2001,80.58893,SP_ACS_BSRVH2O,PT
2002,81.14635,SP_ACS_BSRVH2O,PT
2003,81.69852,SP_ACS_BSRVH2O,PT
2004,82.24532,SP_ACS_BSRVH2O,PT
2005,82.78663,SP_ACS_BSRVH2O,PT
2006,83.32235,SP_ACS_BSRVH2O,PT
2007,83.85242,SP_ACS_BSRVH2O,PT
2008,84.37664,SP_ACS_BSRVH2O,PT
2009,84.89488,SP_ACS_BSRVH2O,PT
2010,85.40703,SP_ACS_BSRVH2O,PT
2011,85.91304,SP_ACS_BSRVH2O,PT
2012,86.41293,SP_ACS_BSRVH2O,PT
2013,86.90636,SP_ACS_BSRVH2O,PT
2014,87.39326,SP_ACS_BSRVH2O,PT
2015,87.87333,SP_ACS_BSRVH2O,PT
2016,88.34641,SP_ACS_BSRVH2O,PT
2017,88.81225,SP_ACS_BSRVH2O,PT
2000,15.12425,SP_ACS_BSRVSAN,PT
2001,17.49453,SP_ACS_BSRVSAN,PT
2002,19.86868,SP_ACS_BSRVSAN,PT
2003,22.29927,SP_ACS_BSRVSAN,PT
2004,24.78598,SP_ACS_BSRVSAN,PT
2005,27.32844,SP_ACS_BSRVSAN,PT
2006,29.9263,SP_ACS_BSRVSAN,PT
2007,32.57934,SP_ACS_BSRVSAN,PT
2008,35.287,SP_ACS_BSRVSAN,PT
2009,38.04892,SP_ACS_BSRVSAN,PT
2010,40.86468,SP_ACS_BSRVSAN,PT
2011,43.734,SP_ACS_BSRVSAN,PT
2012,46.65691,SP_ACS_BSRVSAN,PT
2013,49.63253,SP_ACS_BSRVSAN,PT
2014,52.66066,SP_ACS_BSRVSAN,PT
2015,55.74052,SP_ACS_BSRVSAN,PT
2016,58.87173,SP_ACS_BSRVSAN,PT
2017,62.0536,SP_ACS_BSRVSAN,PT
