Year,Value,Units,Series
2000,163,PER_100000_POP,SH_TBS_INCD
2001,163,PER_100000_POP,SH_TBS_INCD
2002,163,PER_100000_POP,SH_TBS_INCD
2003,163,PER_100000_POP,SH_TBS_INCD
2004,163,PER_100000_POP,SH_TBS_INCD
2005,163,PER_100000_POP,SH_TBS_INCD
2006,164,PER_100000_POP,SH_TBS_INCD
2007,164,PER_100000_POP,SH_TBS_INCD
2008,164,PER_100000_POP,SH_TBS_INCD
2009,164,PER_100000_POP,SH_TBS_INCD
2010,163,PER_100000_POP,SH_TBS_INCD
2011,162,PER_100000_POP,SH_TBS_INCD
2012,161,PER_100000_POP,SH_TBS_INCD
2013,159,PER_100000_POP,SH_TBS_INCD
2014,158,PER_100000_POP,SH_TBS_INCD
2015,156,PER_100000_POP,SH_TBS_INCD
2016,154,PER_100000_POP,SH_TBS_INCD
2017,152,PER_100000_POP,SH_TBS_INCD
2018,151,PER_100000_POP,SH_TBS_INCD
