Year,Value,SERIES,UNIT_MEASURE
1990,14.53116,DT_TDS_DECT,PT
1991,11.17499,DT_TDS_DECT,PT
1992,9.18233,DT_TDS_DECT,PT
1993,8.61512,DT_TDS_DECT,PT
1994,7.81449,DT_TDS_DECT,PT
1995,7.68718,DT_TDS_DECT,PT
1996,6.52582,DT_TDS_DECT,PT
1997,6.93006,DT_TDS_DECT,PT
1998,7.93733,DT_TDS_DECT,PT
1999,7.99309,DT_TDS_DECT,PT
2000,7.39416,DT_TDS_DECT,PT
2001,7.70669,DT_TDS_DECT,PT
2002,10.20136,DT_TDS_DECT,PT
2003,10.04593,DT_TDS_DECT,PT
2004,8.97048,DT_TDS_DECT,PT
2005,8.18599,DT_TDS_DECT,PT
2006,9.68741,DT_TDS_DECT,PT
2007,8.61938,DT_TDS_DECT,PT
2008,8.27386,DT_TDS_DECT,PT
2009,9.97659,DT_TDS_DECT,PT
2010,10.41391,DT_TDS_DECT,PT
2011,8.9984,DT_TDS_DECT,PT
2012,10.03123,DT_TDS_DECT,PT
2013,8.58646,DT_TDS_DECT,PT
2014,7.84996,DT_TDS_DECT,PT
2015,7.89666,DT_TDS_DECT,PT
2016,8.67174,DT_TDS_DECT,PT
2017,7.38106,DT_TDS_DECT,PT
