Year,Value,Units,Series
1996,17.9,PT,EG_ACS_ELEC
1997,15.56461,PT,EG_ACS_ELEC
1998,19.42928,PT,EG_ACS_ELEC
1999,23.29445,PT,EG_ACS_ELEC
2000,27.1552,PT,EG_ACS_ELEC
2001,24.6,PT,EG_ACS_ELEC
2002,34.84372,PT,EG_ACS_ELEC
2003,38.66164,PT,EG_ACS_ELEC
2004,37.2,PT,EG_ACS_ELEC
2005,46.22322,PT,EG_ACS_ELEC
2006,51.2,PT,EG_ACS_ELEC
2007,53.72591,PT,EG_ACS_ELEC
2008,57.48794,PT,EG_ACS_ELEC
2009,61.27518,PT,EG_ACS_ELEC
2010,65.10121,PT,EG_ACS_ELEC
2011,67.26,PT,EG_ACS_ELEC
2012,73.87317,PT,EG_ACS_ELEC
2013,78.0357,PT,EG_ACS_ELEC
2014,84.9,PT,EG_ACS_ELEC
2015,86.65527,PT,EG_ACS_ELEC
2016,90.7,PT,EG_ACS_ELEC
2017,95.50748,PT,EG_ACS_ELEC
