Year,Value,SERIES,UNIT_MEASURE
2005,164.60351,DC_TOF_TRDCML,CON_USD
2006,207.34817,DC_TOF_TRDCML,CON_USD
2007,206.84367,DC_TOF_TRDCML,CON_USD
2008,197.13493,DC_TOF_TRDCML,CON_USD
2009,281.05415,DC_TOF_TRDCML,CON_USD
2010,455.80748,DC_TOF_TRDCML,CON_USD
2011,415.95513,DC_TOF_TRDCML,CON_USD
2012,399.19279,DC_TOF_TRDCML,CON_USD
2013,944.15755,DC_TOF_TRDCML,CON_USD
2014,616.45874,DC_TOF_TRDCML,CON_USD
2015,343.31709,DC_TOF_TRDCML,CON_USD
2016,480.87607,DC_TOF_TRDCML,CON_USD
2017,798.03844,DC_TOF_TRDCML,CON_USD
2018,774.33469,DC_TOF_TRDCML,CON_USD
2006,109.94607,DC_TOF_TRDDBML,CON_USD
2007,120.40686,DC_TOF_TRDDBML,CON_USD
2008,149.37707,DC_TOF_TRDDBML,CON_USD
2009,154.77794,DC_TOF_TRDDBML,CON_USD
2010,239.37515,DC_TOF_TRDDBML,CON_USD
2011,252.49819,DC_TOF_TRDDBML,CON_USD
2012,254.76187,DC_TOF_TRDDBML,CON_USD
2013,304.38647,DC_TOF_TRDDBML,CON_USD
2014,307.5205,DC_TOF_TRDDBML,CON_USD
2015,416.14748,DC_TOF_TRDDBML,CON_USD
2016,294.99382,DC_TOF_TRDDBML,CON_USD
2017,510.64633,DC_TOF_TRDDBML,CON_USD
2018,440.53853,DC_TOF_TRDDBML,CON_USD
