Year,Value,SERIES,UNIT_MEASURE
2000,24.96921,ER_PTD_FRHWTR,PT
2001,24.96921,ER_PTD_FRHWTR,PT
2002,24.96921,ER_PTD_FRHWTR,PT
2003,24.96921,ER_PTD_FRHWTR,PT
2004,31.64045,ER_PTD_FRHWTR,PT
2005,31.64045,ER_PTD_FRHWTR,PT
2006,31.64045,ER_PTD_FRHWTR,PT
2007,31.64045,ER_PTD_FRHWTR,PT
2008,31.64045,ER_PTD_FRHWTR,PT
2009,31.64045,ER_PTD_FRHWTR,PT
2010,32.4317,ER_PTD_FRHWTR,PT
2011,32.4317,ER_PTD_FRHWTR,PT
2012,32.4317,ER_PTD_FRHWTR,PT
2013,32.4317,ER_PTD_FRHWTR,PT
2014,32.4317,ER_PTD_FRHWTR,PT
2015,32.4317,ER_PTD_FRHWTR,PT
2016,32.4317,ER_PTD_FRHWTR,PT
2017,32.4317,ER_PTD_FRHWTR,PT
2018,32.4317,ER_PTD_FRHWTR,PT
2019,32.4317,ER_PTD_FRHWTR,PT
2000,39.23486,ER_PTD_TERR,PT
2001,39.23486,ER_PTD_TERR,PT
2002,39.92667,ER_PTD_TERR,PT
2003,39.92667,ER_PTD_TERR,PT
2004,42.59517,ER_PTD_TERR,PT
2005,43.67659,ER_PTD_TERR,PT
2006,47.23697,ER_PTD_TERR,PT
2007,47.23697,ER_PTD_TERR,PT
2008,47.23697,ER_PTD_TERR,PT
2009,50.33463,ER_PTD_TERR,PT
2010,50.65442,ER_PTD_TERR,PT
2011,50.65442,ER_PTD_TERR,PT
2012,50.65442,ER_PTD_TERR,PT
2013,50.65442,ER_PTD_TERR,PT
2014,50.65442,ER_PTD_TERR,PT
2015,50.65442,ER_PTD_TERR,PT
2016,50.65748,ER_PTD_TERR,PT
2017,50.65748,ER_PTD_TERR,PT
2018,50.65748,ER_PTD_TERR,PT
2019,50.65748,ER_PTD_TERR,PT
