Year,Value,Units,Series
2000,7.87,PT,NV_IND_MANF
2001,7.73,PT,NV_IND_MANF
2002,7.31,PT,NV_IND_MANF
2003,7.03,PT,NV_IND_MANF
2004,6.86,PT,NV_IND_MANF
2005,6.81,PT,NV_IND_MANF
2006,6.72,PT,NV_IND_MANF
2007,6.66,PT,NV_IND_MANF
2008,6.22,PT,NV_IND_MANF
2009,5.89,PT,NV_IND_MANF
2010,5.79,PT,NV_IND_MANF
2011,5.82,PT,NV_IND_MANF
2012,5.76,PT,NV_IND_MANF
2013,5.73,PT,NV_IND_MANF
2014,5.75,PT,NV_IND_MANF
2015,5.59,PT,NV_IND_MANF
2016,5.11,PT,NV_IND_MANF
2017,5.18,PT,NV_IND_MANF
2018,5.3,PT,NV_IND_MANF
2019,5.29,PT,NV_IND_MANF
2020,5.01,PT,NV_IND_MANF
2000,8.91,PT,NV_IND_MANF_CD
2001,8.7,PT,NV_IND_MANF_CD
2002,8.21,PT,NV_IND_MANF_CD
2003,7.89,PT,NV_IND_MANF_CD
2004,7.76,PT,NV_IND_MANF_CD
2005,7.62,PT,NV_IND_MANF_CD
2006,7.31,PT,NV_IND_MANF_CD
2007,7.17,PT,NV_IND_MANF_CD
2008,7.01,PT,NV_IND_MANF_CD
2009,6.62,PT,NV_IND_MANF_CD
2010,5.95,PT,NV_IND_MANF_CD
2011,5.89,PT,NV_IND_MANF_CD
2012,5.97,PT,NV_IND_MANF_CD
2013,5.92,PT,NV_IND_MANF_CD
2014,5.75,PT,NV_IND_MANF_CD
2015,5.59,PT,NV_IND_MANF_CD
2016,5.37,PT,NV_IND_MANF_CD
2017,5.01,PT,NV_IND_MANF_CD
2018,4.99,PT,NV_IND_MANF_CD
2019,4.98,PT,NV_IND_MANF_CD
2000,37.4,CON_USD,NV_IND_MANFPC
2001,38.1,CON_USD,NV_IND_MANFPC
2002,35.5,CON_USD,NV_IND_MANFPC
2003,35.1,CON_USD,NV_IND_MANFPC
2004,35.3,CON_USD,NV_IND_MANFPC
2005,35.8,CON_USD,NV_IND_MANFPC
2006,36.1,CON_USD,NV_IND_MANFPC
2007,36.5,CON_USD,NV_IND_MANFPC
2008,35.8,CON_USD,NV_IND_MANFPC
2009,35.2,CON_USD,NV_IND_MANFPC
2010,36.1,CON_USD,NV_IND_MANFPC
2011,37.5,CON_USD,NV_IND_MANFPC
2012,38.9,CON_USD,NV_IND_MANFPC
2013,40.5,CON_USD,NV_IND_MANFPC
2014,43.0,CON_USD,NV_IND_MANFPC
2015,43.0,CON_USD,NV_IND_MANFPC
2016,39.2,CON_USD,NV_IND_MANFPC
2017,42.4,CON_USD,NV_IND_MANFPC
2018,45.6,CON_USD,NV_IND_MANFPC
2019,47.8,CON_USD,NV_IND_MANFPC
2020,44.5,CON_USD,NV_IND_MANFPC
