Year,Value,UNIT_MEASURE,SERIES
2015,40,PT,_L_NP_03_05_01_01
2018,50,PT,_L_NP_03_05_01_01
2019,55,PT,_L_NP_03_05_01_01
2020,60,PT,_L_NP_03_05_01_01
2022,75,PT,_L_NP_03_05_01_01
