Year,Value,UNIT_MEASURE,SERIES
2015,70,PT,_L_NP_03_0b_03_01
2018,95,PT,_L_NP_03_0b_03_01
2019,95,PT,_L_NP_03_0b_03_01
2020,100,PT,_L_NP_03_0b_03_01
2022,100,PT,_L_NP_03_0b_03_01
