Year,Value,SERIES,UNIT_MEASURE
2000,330.61023,DC_TRF_TOTL,USD
2001,429.00523,DC_TRF_TOTL,USD
2002,248.67733,DC_TRF_TOTL,USD
2003,450.99802,DC_TRF_TOTL,USD
2004,417.81229,DC_TRF_TOTL,USD
2005,397.08543,DC_TRF_TOTL,USD
2006,439.1621,DC_TRF_TOTL,USD
2007,552.16639,DC_TRF_TOTL,USD
2008,607.71192,DC_TRF_TOTL,USD
2009,692.11934,DC_TRF_TOTL,USD
2010,749.45726,DC_TRF_TOTL,USD
2011,733.76194,DC_TRF_TOTL,USD
2012,851.42326,DC_TRF_TOTL,USD
2013,1004.72571,DC_TRF_TOTL,USD
2014,888.37542,DC_TRF_TOTL,USD
2015,1214.5901,DC_TRF_TOTL,USD
2016,1071.16871,DC_TRF_TOTL,USD
2017,1320.07574,DC_TRF_TOTL,USD
2018,1473.00713,DC_TRF_TOTL,USD
