Year,Value,SERIES,UNIT_MEASURE
1993,0.83826,ER_RSK_LST,IX
1994,0.83783,ER_RSK_LST,IX
1995,0.83737,ER_RSK_LST,IX
1996,0.83668,ER_RSK_LST,IX
1997,0.8361,ER_RSK_LST,IX
1998,0.83544,ER_RSK_LST,IX
1999,0.83475,ER_RSK_LST,IX
2000,0.83428,ER_RSK_LST,IX
2001,0.83373,ER_RSK_LST,IX
2002,0.83346,ER_RSK_LST,IX
2003,0.83318,ER_RSK_LST,IX
2004,0.83291,ER_RSK_LST,IX
2005,0.83275,ER_RSK_LST,IX
2006,0.83229,ER_RSK_LST,IX
2007,0.83217,ER_RSK_LST,IX
2008,0.83203,ER_RSK_LST,IX
2009,0.83188,ER_RSK_LST,IX
2010,0.8317,ER_RSK_LST,IX
2011,0.83178,ER_RSK_LST,IX
2012,0.83183,ER_RSK_LST,IX
2013,0.83169,ER_RSK_LST,IX
2014,0.8314,ER_RSK_LST,IX
2015,0.83119,ER_RSK_LST,IX
2016,0.83123,ER_RSK_LST,IX
2017,0.83107,ER_RSK_LST,IX
2018,0.8307,ER_RSK_LST,IX
2019,0.83087,ER_RSK_LST,IX
2020,0.83043,ER_RSK_LST,IX
